Pressure [psi]  Density [g/cc]
    11.860        8.2228E-03
    12.860        8.8562E-03
    13.860        9.4855E-03
    14.860        1.0111E-02
    15.860        1.0734E-02
    16.860        1.1353E-02
    17.860        1.1969E-02
    18.860        1.2583E-02
    19.860        1.3194E-02
    20.860        1.3803E-02
    21.860        1.4410E-02
    22.860        1.5015E-02
    23.860        1.5618E-02
    24.860        1.6219E-02
    25.860        1.6818E-02
    26.860        1.7416E-02
    27.860        1.8012E-02
    28.860        1.8607E-02
    29.860        1.9200E-02
    30.860        1.9792E-02
    31.860        2.0383E-02
    32.860        2.0972E-02
