Pressure [psi]  Density [g/cc]
    11.860          2.9662
    12.860          2.9572
    13.860          2.9487
    14.860          2.9407
    15.860          2.9330
    16.860          2.9257
    17.860          2.9187
    18.860          2.9120
    19.860          2.9055
    20.860          2.8992
    21.860          2.8932
    22.860          2.8873
    23.860          2.8816
    24.860          2.8761
    25.860          2.8707
    26.860          2.8655
    27.860          2.8604
    28.860          2.8554
    29.860          2.8505
    30.860          2.8458
    31.860          2.8411
    32.860          2.8366
