Wavelength [nm]  Index of Refraction
   162.50000           1.95794
   175.00000           1.70857
   177.08082           1.68375
   179.01086           1.66366
   187.50000           1.59986
   200.00000           1.54079
   225.00000           1.47822
   250.00000           1.44638
   275.00000           1.42636
   300.00000           1.41343
   325.00000           1.40405
   350.00000           1.39703
   375.00000           1.39237
   400.00000           1.38772
   425.00000           1.38543
   450.00000           1.38196
   475.00000           1.37967
   500.00000           1.37856
   525.00000           1.37627
   550.00000           1.37634
   575.00000           1.37405
   600.00000           1.37294
