Wavelength [nm]  Rayleigh Scattering Length [m]
   175.00000                0.277885
   177.99719                0.350000
   178.06725                0.352885
   187.50000                0.632319
   200.00000                1.104895
   225.00000                2.718249
   250.00000                5.095326
   275.00000                8.617988
   300.00000                13.38176
   325.00000                19.67291
   350.00000                27.87338
   375.00000                38.17408
   400.00000                50.86148
   425.00000                66.50825
