Wavelength [nm]   Intensity
      153        9.70670E-06
      154        1.94134E-05
      155        3.77437E-05
      156        7.13347E-05
      157        1.31060E-04
      158        2.34073E-04
      159        4.06394E-04
      160        6.85892E-04
      161        1.12532E-03
      162        1.79478E-03
      163        2.78265E-03
      164        4.19392E-03
      165        6.14460E-03
      166        8.75145E-03
      167        1.21166E-02
      168        1.63077E-02
      169        2.13363E-02
      170        2.71367E-02
      171        3.35513E-02
      172        4.03250E-02
      173        4.71143E-02
      174        5.35111E-02
      175        5.90811E-02
      176        6.34112E-02
      177        6.61601E-02
      178        6.71027E-02
      179        6.61601E-02
      180        6.34112E-02
      181        5.90811E-02
      182        5.35111E-02
      183        4.71143E-02
      184        4.03250E-02
      185        3.35513E-02
      186        2.71367E-02
      187        2.13363E-02
      188        1.63077E-02
      189        1.21166E-02
      190        8.75145E-03
      191        6.14460E-03
      192        4.19392E-03
      193        2.78265E-03
      194        1.79478E-03
      195        1.12532E-03
      196        6.85892E-04
      197        4.06394E-04
      198        2.34073E-04
      199        1.31060E-04
      200        7.13347E-05
      201        3.77437E-05
      202        1.94134E-05
      203        9.70670E-06
