Pressure [psi]  Temperature [Kelvin]
    11.860             161.40
    12.860             162.76
    13.860             164.04
    14.860             165.24
    15.860             166.39
    16.860             167.48
    17.860             168.52
    18.860             169.52
    19.860             170.48
    20.860             171.41
    21.860             172.29
    22.860             173.15
    23.860             173.98
    24.860             174.79
    25.860             175.57
    26.860             176.33
    27.860             177.06
    28.860             177.78
    29.860             178.48
    30.860             179.16
    31.860             179.82
    32.860             180.47
